,"loc","geocoded"
124,"Novosibirsk","(55.0282171, 82.9234509)"
125,"Gatchina","(59.5706273, 30.1305083)"
126,"Cheljabinsk","(55.164632, 61.440264)"
127,"Kirov","(58.6035257, 49.6639029)"
128,"Irkutsk","(52.289597, 104.280586)"
129,"Nevinnomyssk","(44.6293247, 41.9473734561095)"
130,"Minsk","(53.902334, 27.5618791)"
131,"Almaty","(43.2363924, 76.9457275)"
132,"Golitsino","(52.7052642, 44.3885156)"
133,"Frjanovo","(56.134393, 38.437913)"
134,"Frjazino","(55.954618, 38.0567691)"
135,"Adler","(50.1153655, 14.408996)"
136,"Tambov","(52.72879, 41.45536)"
137,"Brjansk","(53.2423778, 34.3668288)"
138,"Penza","(53.200001, 45.0)"
139,"Novokuznetsk","(53.757607, 87.136101)"
140,"Naro - Fominsk","(55.3879473, 36.7398309)"
141,"Pushkin","(59.722256, 30.415731)"
142,"Kolpino","(59.748444, 30.604479)"
143,"Tol'jatti","(53.51495, 49.407574)"
144,"Ul'janovsk","(54.3107593, 48.3642771)"
145,"Korjazhma","(61.3151659, 47.1607626)"
146,"Kaliningrad","(54.7066422, 20.5105166)"
147,"Kemerovo","(55.355125, 86.087234)"
148,"Bratsk","(56.1517085, 101.6334907)"
149,,
150,"Shuja","(15.795457, 43.735785)"
151,"Karaganda","(49.816592, 73.1044754)"
152,"Odintsovo","(55.6711507, 37.2727963)"
153,"Mineral'nye Vody","(44.2107377, 43.134969)"
154,"Georgievsk","(44.147438, 43.454683)"
155,"Pushkino","(56.0104274, 37.8461892)"
156,"Ivanteevka","(55.975980, 37.913573)"
157,"Elektrougli","(55.7184467, 38.2228192)"
158,"Magnitogorsk","(53.4242184, 58.983136)"
159,"Groznyj","(43.316845, 45.698967)"
160,"Otpravka po RF",
161,"Kursk","(51.739433, 36.179604)"
162,"Orel","(52.9685433, 36.0692477)"
163,"Kopejsk","(55.122373, 61.631640)"
164,"Belgorod","(50.595299, 36.586933)"
165,"Klintsy","(52.758511, 32.240097)"
166,"Roslavl'","(53.9448678, 32.8479317285327)"
167,"Schekino","(54.0099152, 37.5008103)"
168,"Elets","(52.6219865, 38.5003298)"
169,"Saransk","(54.18671, 45.18383)"
170,"Alatyr'","(54.7460017, 45.5233818)"
171,"Novodvinsk","(64.419212, 40.793793)"
172,"Scherbinka","(55.500917, 37.559077)"
173,"Reutov","(55.7622613, 37.8565794)"
174,"Kashira","(54.837449, 38.1505119)"
175,"Vjaz'ma","(55.208608, 34.287176)"
176,"Vologda","(59.218876, 39.893276)"
177,"Velikij Ustjug","(60.766631, 46.305764)"
178,"Urdoma","(61.744476, 48.549053)"
179,"Surgut","(61.254032, 73.3964)"
180,"Neftejugansk","(61.090309, 72.6101)"
181,"Nizhnevartovsk","(60.934044, 76.580368)"
182,"Pervo-Ural'sk","(56.900612, 59.943021)"
183,"Stupino","(54.886598, 38.0772589)"
184,"Serpuhov","(54.9155247, 37.4195533)"
185,"Petropavlovsk (Kazahstan)","(54.8668104, 69.1334984)"
186,"Kurgan","(55.7655302, 64.5632681)"
187,"Kurovskoe","(55.5771391, 38.9225824)"
188,"Saki","(34.43825, 132.302395)"
189,"Mahachkala","(42.965624, 47.512361)"
190,"Lytkarino","(55.5822477, 37.9080217)"
191,"Grodno","(53.6834599, 23.8342648)"
192,"Dimitrovgrad","(42.0582493, 25.5916466)"
193,"Cherkessk","(44.2285229, 42.048257)"
194,"Sergiev Posad","(56.3133404, 38.1320729)"
195,"Dinskaja (Krasnodarskij kr.)","(45.220781, 39.231824)"
196,"Balakovo","(52.01812, 47.819141)"
197,"Azov","(47.1139219, 39.4259657)"
198,"Tynda","(55.149694, 124.7375884)"
199,"dostavka po Rossii","(53.58614595, 142.942371351718)"
200,"Alapaevsk","(57.850811, 61.695)"
201,"Zhigulevsk","(53.388791, 49.470504)"
202,"Salavat","(38.80921, 47.7394069)"
203,"Vidnoe","(43.56364, 28.38033)"
204,"Taganrog","(47.2153657, 38.9285216)"
205,"Shahty","(53.6416767, 39.5399784)"
206," Novocherkassk","(47.41066, 40.101986)"
207,"Chehov","(42.578143, 23.1123443)"
208,"Koktebel'","(44.9633478, 35.2381272)"
209,"Novocheboksarsk","(56.1140023, 47.4870341)"
210,"Kanash","(55.5148161, 47.4986307188901)"
211,"Arzamas","(55.3989463, 43.8408129)"
212,"Bor","(44.1605556, 0.6294444)"
213,"Inozemtsevo","(44.0939286, 43.0931055)"
214,"Pervoural'sk","(56.904858, 59.943119)"
215,"Batajsk","(47.138527, 39.742348)"
216,"Aksaj","(47.268696, 39.861362)"
217,"Achinsk","(56.2694846, 90.4953964)"
218,"Mihajlovsk (Stavropol'skij kraj)","(45.131559, 42.009675)"
219,"Liski","(50.982079, 39.496941)"
220,"Ussurijsk","(43.7972447, 131.9520752)"
221,"Bijsk","(52.5394905, 85.2148673)"
222,"Kropotkin (Krasnodarskij kraj)","(45.429631, 40.550364)"
223,"Dzhubga","(44.3170538, 38.7043664)"
224,"Volzhskij","(48.809090, 44.757540)"
225,"Slavgorod(Altajskij kraj)","(52.991310, 78.640355)"
